Name of Company,Trading Symbol,State of Incorporation,City,ZipCode,Employee Id,Phone No.,Exchanges,Form,Financial Period,Total Assets,Total Liabilities,Stockholder Equity,Total Operating Expenses,Net Incone,Webpage
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-11-30,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321008305/f8k_120221.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-12-01,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321008257/f8k_120121.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-11-16,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321008015/f8k_111721.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-11-11,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321007840/f8k_111221.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-11-10,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321007804/f8k_111021.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-11-08,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321007708/f8k_110921.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-11-01,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321007357/f8k_110121.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-10-27,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321007242/f8k_102821.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-09-20,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321006578/f8k_092121.htm
3D SYSTEMS CORP,['DDD'],DE,ROCK HILL,29730,954431352,8033263900,['NYSE'],8-K,2021-09-09,,,,,,https://sec.gov/Archives/edgar/data/0910638/000117184321006420/f8k_091021.htm
